2,1761,TUR,Zeynep AKYUZ,8.82,2nd Category Prize,International Women's Group B Bagua Zhang,Taolu,Emei
3,1914,USA,Isabella MILLER,8.78,3rd Category Prize,International Women's Group B Bagua Zhang,Taolu,Emei
4,1692,RUS,Kamila IMANGULOVA,8.65,3rd Category Prize,International Women's Group B Bagua Zhang,Taolu,Emei
5,1120,CAN,Lissy Liu,8.63,"",International Women's Group B Bagua Zhang,Taolu,Emei
6,1689,RUS,Idalia GAFAROVA,8.60,"",International Women's Group B Bagua Zhang,Taolu,Emei
7,1946,USA,Rachel SU,8.50,"",International Women's Group B Bagua Zhang,Taolu,Emei

Table 16,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1131,CHN,ZHANG KAI,8.90,1st Category Prize,International Men's Group D Bagua Zhang,Taolu,Emei
2,1835,USA,Gerard SILVA,8.89,2nd Category Prize,International Men's Group D Bagua Zhang,Taolu,Emei
3,1728,SVK,Peter KYSEL,8.81,3rd Category Prize,International Men's Group D Bagua Zhang,Taolu,Emei
4,1220,GER,Christian Ameis,8.78,3rd Category Prize,International Men's Group D Bagua Zhang,Taolu,Emei
5,1467,LAT,Anatolijs Kiselovs,8.63,"",International Men's Group D Bagua Zhang,Taolu,Emei
6,1371,JPN,YOSHIHIRO NISHIKAWA,8.63,"",International Men's Group D Bagua Zhang,Taolu,Emei

Table 17,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1782,UKR,Yudin Bohdan,8.80,1st Category Prize,International Men's Group B Baji Quan,Taolu,Emei
2,1803,USA,Aspen SHEN,8.72,2nd Category Prize,International Men's Group B Baji Quan,Taolu,Emei
3,1468,LAT,Daniils Kirjusins,8.72,2nd Category Prize,International Men's Group B Baji Quan,Taolu,Emei
4,1970,INA,MUHAMMAD RAFID ARYOKUSUMO,8.68,3rd Category Prize,International Men's Group B Baji Quan,Taolu,Emei
5,1108,CAN,Peter Nai Ming Guo,8.58,"",International Men's Group B Baji Quan,Taolu,Emei

Table 18,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1691,RUS,Iuliia TIMIRKINA,9.09,1st Category Prize,International Women's Group C Baji Quan,Taolu,Emei
2,1784,UKR,Ganna Tereshchenko,9.08,2nd Category Prize,International Women's Group C Baji Quan,Taolu,Emei
3,1791,UKR,Varlamova Nataliia,9.06,3rd Category Prize,International Women's Group C Baji Quan,Taolu,Emei
4,1687,RUS,Elena VASENINA,9.00,3rd Category Prize,International Women's Group C Baji Quan,Taolu,Emei
5,1693,RUS,Nina SAFAROVA,8.86,"",International Women's Group C Baji Quan,Taolu,Emei
6,1920,USA,Julianna YIP,8.78,"",International Women's Group C Baji Quan,Taolu,Emei

Table 19,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1644,RUS,Alexey NAZINKIN,9.08,1st Category Prize,International Men's Group C Baji Quan,Taolu,Emei
2,1472,LTU,Aram MURADYAN,9.00,2nd Category Prize,International Men's Group C Baji Quan,Taolu,Emei
3,1662,RUS,Ivan MOLCHANOV,8.97,3rd Category Prize,International Men's Group C Baji Quan,Taolu,Emei
4,1476,MAC,KONG CHIN IEONG,8.91,3rd Category Prize,International Men's Group C Baji Quan,Taolu,Emei
5,1801,USA,Anthony DIAZ,8.90,"",International Men's Group C Baji Quan,Taolu,Emei
6,1190,FRA,FACHON Mathieu,8.81,"",International Men's Group C Baji Quan,Taolu,Emei
7,1543,NED,Nelson da Luz Bentes,8.70,"",International Men's Group C Baji Quan,Taolu,Emei

Table 20,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1873,USA,Sen GAO,9.13,1st Category Prize,International Men's Group C Tongbei Quan,Taolu,Emei
2,1647,RUS,Andrey MORKOVKIN,9.05,2nd Category Prize,International Men's Group C Tongbei Quan,Taolu,Emei
3,1180,ESP,LUIS CALLE PANIAGUA,8.95,3rd Category Prize,International Men's Group C Tongbei Quan,Taolu,Emei
4,1085,BRU,Ang Lu Guan,8.90,3rd Category Prize,International Men's Group C Tongbei Quan,Taolu,Emei
5,1870,USA,Roger ROSALES,8.80,"",International Men's Group C Tongbei Quan,Taolu,Emei
6,1500,MAR,MOHAMED AJBAH,8.64,"",International Men's Group C Tongbei Quan,Taolu,Emei
7,1498,MAR,AZIZ ELHAIBA,8.58,"",International Men's Group C Tongbei Quan,Taolu,Emei

Table 21,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1867,USA,Phillip DANG,8.96,1st Category Prize,International Men's Group C Fanzi Quan,Taolu,Emei
2,1215,GEO,DAVID GULISASHVIILI,8.91,2nd Category Prize,International Men's Group C Fanzi Quan,Taolu,Emei
