"","Team","Athlete","Score","Remark","Sex","Group","Form"
"861","HKG","ZHU Yuanpeng",9.16,"1st Category Prize","M","Group C"," Other Nanquan"
"862","HKG","LEE Chun Pong Bruce",9.15,"1st Category Prize","M","Group C"," Other Nanquan"
"863","USA","Alex TRAN",9.14,"1st Category Prize","M","Group C"," Other Nanquan"
"864","RUS","Artem ALTYSHEV",9.13,"2nd Category Prize","M","Group C"," Other Nanquan"
"865","POL","Tomasz Bilut",8.92,"2nd Category Prize","M","Group C"," Other Nanquan"
"866","MAS","KAH JOON KOO",8.87,"2nd Category Prize","M","Group C"," Other Nanquan"
"867","TJK","KHURSHDZODA MIRZODALERKHON",8.85,"3rd Category Prize","M","Group C"," Other Nanquan"
"868","HKG","SUEN Hung Kong",8.8,"3rd Category Prize","M","Group C"," Other Nanquan"
"869","MAS","HENG XIAN LEE",8.78,"3rd Category Prize","M","Group C"," Other Nanquan"
"870","MAS","YU WAI LIN",8.78,"3rd Category Prize","M","Group C"," Other Nanquan"
"871","YEM","BASSAM AHMED LWZA",8.77,"3rd Category Prize","M","Group C"," Other Nanquan"
"872","SRI","P.JEEWAN MADURANGA",8.76,"3rd Category Prize","M","Group C"," Other Nanquan"
"873","AUS","Mitchell Chiew",8.75,"","M","Group C"," Other Nanquan"
"874","AUS","Gee Jhung Siu",8.71,"","M","Group C"," Other Nanquan"
"875","MAS","HONG CHUN LEE",8.7,"","M","Group C"," Other Nanquan"
"876","USA","Brian HUTCHINSON",8.67,"","M","Group C"," Other Nanquan"
"877","HKG","LI Kwai Yuen",8.66,"","M","Group C"," Other Nanquan"
"878","MAS","CHUN ONN LIAU",8.63,"","M","Group C"," Other Nanquan"
"879","IND","AYUSH SHARMA",8.6,"","M","Group C"," Other Nanquan"
"880","IND","PRASHANT BALAKU GAIKWAD",8.31,"","M","Group C"," Other Nanquan"
"881","HKG","YEUNG Michelle",8.91,"1st Category Prize","W","Group B"," Dao (Broadsword)"
"882","RUS","Kamila IMANGULOVA",8.88,"2nd Category Prize","W","Group B"," Dao (Broadsword)"
"883","MAS","SHAFEI LEE",8.77,"2nd Category Prize","W","Group B"," Dao (Broadsword)"
"884","CAN","Lissy Liu",8.75,"3rd Category Prize","W","Group B"," Dao (Broadsword)"
"885","USA","Tori MATULA",8.67,"3rd Category Prize","W","Group B"," Dao (Broadsword)"
"886","USA","Shining XI",8.55,"3rd Category Prize","W","Group B"," Dao (Broadsword)"
"887","FRA","TROLEZ Camille",8.45,"","W","Group B"," Dao (Broadsword)"
"888","FRA","SOUMACHE Colette",8.43,"","W","Group B"," Dao (Broadsword)"
"889","SRI","A.V.AKESHA DE SILVA",8.42,"","W","Group B"," Dao (Broadsword)"
"890","FRA","GAY Lauranne",8.4,"","W","Group B"," Dao (Broadsword)"
"891","TPE","LIU chang min",8.9,"1st Category Prize","M","Group B"," Dao (Broadsword)"
"892","RUS","Vladimir KAMASHEV",8.87,"1st Category Prize","M","Group B"," Dao (Broadsword)"
"893","RUS","Artem KOCHEMASOV",8.85,"2nd Category Prize","M","Group B"," Dao (Broadsword)"
"894","ITA","Michele Stefano RUPPOLO",8.78,"2nd Category Prize","M","Group B"," Dao (Broadsword)"
"895","BRU","Ericsson Bong Cheng Loong",8.77,"2nd Category Prize","M","Group B"," Dao (Broadsword)"
"896","KAZ","Rustamov Attila",8.76,"3rd Category Prize","M","Group B"," Dao (Broadsword)"
"897","MEX","Adrian TEYECHEA L",8.75,"3rd Category Prize","M","Group B"," Dao (Broadsword)"
"898","USA","Ean BENNETT",8.7,"3rd Category Prize","M","Group B"," Dao (Broadsword)"
"899","USA","John HUANG",8.67,"3rd Category Prize","M","Group B"," Dao (Broadsword)"
"900","ITA","Patrizio MAIORANO",8.66,"3rd Category Prize","M","Group B"," Dao (Broadsword)"
"901","MEX","Raul GUTIERREZ",8.63,"","M","Group B"," Dao (Broadsword)"
"902","USA","Tyler MALLORY",8.62,"","M","Group B"," Dao (Broadsword)"
"903","CZE","Karel Kral",8.55,"","M","Group B"," Dao (Broadsword)"
"904","MEX","Enrique TEYECHEA",8.51,"","M","Group B"," Dao (Broadsword)"
"905","SRI","H.G.T.S SAMARAKOON",8.35,"","M","Group B"," Dao (Broadsword)"
"906","FRA","SOUMACHE Lancelot",8.31,"","M","Group B"," Dao (Broadsword)"
"907","TPE","WU chia hsin",8.91,"1st Category Prize","W","Group C"," Dao (Broadsword)"
"908","RUS","Elena VASENINA",8.9,"2nd Category Prize","W","Group C"," Dao (Broadsword)"
"909","RUS","Iuliia TIMIRKINA",8.84,"2nd Category Prize","W","Group C"," Dao (Broadsword)"
"910","BRA","Raquel dos Santos ARAUJO",8.74,"3rd Category Prize","W","Group C"," Dao (Broadsword)"
"911","HKG","NG WONG Jenny",8.67,"3rd Category Prize","W","Group C"," Dao (Broadsword)"
"912","ITA","Alessia TARTUFOLI",8.65,"3rd Category Prize","W","Group C"," Dao (Broadsword)"
"913","KGZ","Liubov SERIAKOVA",8.59,"","W","Group C"," Dao (Broadsword)"
"914","JPN","MIHARU TAKEUCHI",8.56,"","W","Group C"," Dao (Broadsword)"
"915","BRA","Cristiane Aparecida SIMAO",8.53,"","W","Group C"," Dao (Broadsword)"
"916","COL","PAULA ANDREA LOTERO GARNICA",8.46,"","W","Group C"," Dao (Broadsword)"
"917","MAC","TIAN CHUNYANG",9.1,"1st Category Prize","M","Group D"," Dao (Broadsword)"
"918","CHN","ZHANG KAI",9.1,"1st Category Prize","M","Group D"," Dao (Broadsword)"
"919","JPN","KENSUKE SAKAI",8.91,"3rd Category Prize","M","Group D"," Dao (Broadsword)"
"920","CAN","Wai Pui Chung",8.85,"3rd Category Prize","M","Group D"," Dao (Broadsword)"
"921","SUI","Alexandre Yvan MATHYS",8.84,"","M","Group D"," Dao (Broadsword)"
"922","JPN","YOSHIHIRO NISHIKAWA",8.7,"","M","Group D"," Dao (Broadsword)"
"923","ECU","GERARDO RUBIO",8.61,"","M","Group D"," Dao (Broadsword)"
"924","EGY","Hesham Nabil Abdelnabi Mohamed",9.15,"1st Category Prize","M","Group C"," Taiji Jian"
"925","HKG","SAT Pak Long",9.01,"1st Category Prize","M","Group C"," Taiji Jian"
"926","EGY","Mohamed nagi Ali Mohamed",8.95,"2nd Category Prize","M","Group C"," Taiji Jian"
"927","MAC","LI SHAOYUE",8.95,"2nd Category Prize","M","Group C"," Taiji Jian"
"928","HKG","YEUNG Chung Hei",8.94,"2nd Category Prize","M","Group C"," Taiji Jian"
"929","RUS","Vasilii KISLITCYN",8.92,"2nd Category Prize","M","Group C"," Taiji Jian"
"930","ESP","DAVID MARTIN ALCALDE",8.91,"2nd Category Prize","M","Group C"," Taiji Jian"
"931","KAZ","Yedilbayev Askarbay",8.9,"3rd Category Prize","M","Group C"," Taiji Jian"
"932","MAC","WONG IOK LAM",8.89,"3rd Category Prize","M","Group C"," Taiji Jian"
"933","ITA","Gianluigi BISONI",8.86,"3rd Category Prize","M","Group C"," Taiji Jian"
"934","ROU","Claudiu Mihaila",8.82,"3rd Category Prize","M","Group C"," Taiji Jian"
"935","AUS","Mitchell Brown",8.81,"3rd Category Prize","M","Group C"," Taiji Jian"
"936","UKR","Maksym Kolotilkin",8.79,"3rd Category Prize","M","Group C"," Taiji Jian"
"937","CZE","Jiri Hauska",8.78,"3rd Category Prize","M","Group C"," Taiji Jian"
"938","USA","Cheng ZHANG",8.76,"","M","Group C"," Taiji Jian"
"939","IRI","seyed hamed katouzi",8.76,"","M","Group C"," Taiji Jian"
"940","KUW","Fahd A ALAJMI",8.75,"","M","Group C"," Taiji Jian"
"941","GER","Marc Koesling",8.73,"","M","Group C"," Taiji Jian"
"942","HKG","SO King Ho",8.73,"","M","Group C"," Taiji Jian"
"943","FRA","REYNIER Martin",8.72,"","M","Group C"," Taiji Jian"
"944","RSA","Thomas WIID",8.71,"","M","Group C"," Taiji Jian"
"945","IRI","shahriar ghasemipour nikbin",8.69,"","M","Group C"," Taiji Jian"
"946","ESP","MARIO SIMON GARCIA",8.68,"","M","Group C"," Taiji Jian"
"947","USA","Xue Ming HUIE",9.05,"1st Category Prize","W","Group D"," Taiji Jian"
"948","USA","Haojie WU",8.99,"1st Category Prize","W","Group D"," Taiji Jian"
"949","JPN","YOSHIE SATO",8.97,"1st Category Prize","W","Group D"," Taiji Jian"
"950","JPN","MINA MORIOKA",8.95,"1st Category Prize","W","Group D"," Taiji Jian"
"951","NZL","Diana Kam Yoke Lau",8.92,"1st Category Prize","W","Group D"," Taiji Jian"
"952","JPN","YUKIKO YAMAJI",8.91,"1st Category Prize","W","Group D"," Taiji Jian"
"953","AUS","Sally Yanhui Lin",8.91,"1st Category Prize","W","Group D"," Taiji Jian"
"954","HKG","SENG Choa Ee Tricia",8.9,"2nd Category Prize","W","Group D"," Taiji Jian"
"955","USA","Vicki ARMES",8.9,"2nd Category Prize","W","Group D"," Taiji Jian"
"956","JPN","MASAMI SUETSUGU",8.84,"2nd Category Prize","W","Group D"," Taiji Jian"
"957","JPN","TAMAKO MURATA",8.82,"2nd Category Prize","W","Group D"," Taiji Jian"
"958","JPN","MIYUKI ITO",8.81,"2nd Category Prize","W","Group D"," Taiji Jian"
"959","HKG","NG Mei Kuen",8.8,"2nd Category Prize","W","Group D"," Taiji Jian"
"960","JPN","YOKO UKAI",8.8,"2nd Category Prize","W","Group D"," Taiji Jian"
"961","JPN","NORIKO KAMATA",8.79,"2nd Category Prize","W","Group D"," Taiji Jian"
"962","RUS","Irina EVSTIGNEEVA",8.79,"2nd Category Prize","W","Group D"," Taiji Jian"
"963","JPN","YASUYO ATSUMI",8.78,"2nd Category Prize","W","Group D"," Taiji Jian"
"964","JPN","YU NAKAGAWA",8.78,"2nd Category Prize","W","Group D"," Taiji Jian"
"965","RUS","Tatiana IUREVA",8.78,"2nd Category Prize","W","Group D"," Taiji Jian"
"966","AUS","Cheryl Sam Toi",8.78,"2nd Category Prize","W","Group D"," Taiji Jian"
"967","MAS","LEE BOEY KOH",8.76,"2nd Category Prize","W","Group D"," Taiji Jian"
"968","MAC","WONG WUN U",8.76,"2nd Category Prize","W","Group D"," Taiji Jian"
"969","HKG","LI So Ling Christina",8.76,"2nd Category Prize","W","Group D"," Taiji Jian"
"970","JPN","MIDORI TAKANO",8.75,"3rd Category Prize","W","Group D"," Taiji Jian"
"971","CAN","Yee Yat-Kwan",8.75,"3rd Category Prize","W","Group D"," Taiji Jian"
"972","HKG","NG Kit Yee",8.73,"3rd Category Prize","W","Group D"," Taiji Jian"
"973","AUS","Angela Jia Li Mak",8.72,"3rd Category Prize","W","Group D"," Taiji Jian"
"974","HKG","YU Fung Mei Patricia",8.72,"3rd Category Prize","W","Group D"," Taiji Jian"
"975","HKG","LAI Tsz Man",8.72,"3rd Category Prize","W","Group D"," Taiji Jian"
"976","HKG","CHEUNG Yat Wah Carol",8.72,"3rd Category Prize","W","Group D"," Taiji Jian"
"977","USA","Ping WU",8.72,"3rd Category Prize","W","Group D"," Taiji Jian"
"978","AUS","Rebecca Pui Ting Ho",8.7,"3rd Category Prize","W","Group D"," Taiji Jian"
"979","FRA","LACOUTURE-TROLEZ Stephaniee",8.7,"3rd Category Prize","W","Group D"," Taiji Jian"
"980","HKG","LAU Kit Ming Tammy",8.7,"3rd Category Prize","W","Group D"," Taiji Jian"
"981","JPN","JUNKO KIDO",8.7,"3rd Category Prize","W","Group D"," Taiji Jian"
"982","HKG","NG Wing Kam",8.69,"3rd Category Prize","W","Group D"," Taiji Jian"
"983","HKG","YAN Hiu Kwan",8.67,"3rd Category Prize","W","Group D"," Taiji Jian"
"984","NED","Sabine Bock",8.67,"3rd Category Prize","W","Group D"," Taiji Jian"
"985","JPN","EMIKO SAKUMA",8.66,"3rd Category Prize","W","Group D"," Taiji Jian"
"986","HKG","CHAN Yuen Kwan",8.66,"3rd Category Prize","W","Group D"," Taiji Jian"
"987","HKG","LUK Cheung Fung Grendy",8.66,"3rd Category Prize","W","Group D"," Taiji Jian"
"988","HKG","YUNG Sin Yee Cynthia",8.65,"","W","Group D"," Taiji Jian"
"989","HKG","LAU Sum Wing",8.65,"","W","Group D"," Taiji Jian"
"990","MAC","VONG MEI FONG",8.64,"","W","Group D"," Taiji Jian"
"991","HKG","PANG Yuk Mui",8.64,"","W","Group D"," Taiji Jian"
"992","RUS","Antonina IVANOVA",8.63,"","W","Group D"," Taiji Jian"
"993","HKG","NG Lai Ling Maggie",8.62,"","W","Group D"," Taiji Jian"
"994","FRA","VIGNON Roxane",8.62,"","W","Group D"," Taiji Jian"
"995","HKG","LEUNG Yuen Nga Barbara",8.61,"","W","Group D"," Taiji Jian"
"996","JPN","YUMIKO ICHIKAWA",8.6,"","W","Group D"," Taiji Jian"
"997","HKG","CHENG Hsueh Chih",8.6,"","W","Group D"," Taiji Jian"
"998","JPN","MIKIKO UEDA",8.6,"","W","Group D"," Taiji Jian"
"999","JPN","SAKIKO KOMURO",8.58,"","W","Group D"," Taiji Jian"
"1000","HKG","BALEROS Henriette Patricia",8.57,"","W","Group D"," Taiji Jian"
"1001","HKG","KONG Yee Wan",8.57,"","W","Group D"," Taiji Jian"
"1002","HKG","TANG Yuk Ling",8.55,"","W","Group D"," Taiji Jian"
"1003","HKG","NG Shiow Lan Liza",8.55,"","W","Group D"," Taiji Jian"
"1004","JPN","AKIKO KATO",8.55,"","W","Group D"," Taiji Jian"
"1005","HKG","YOO Hwa Soo",8.55,"","W","Group D"," Taiji Jian"
"1006","HKG","CHOW Wan Ming Mary",8.54,"","W","Group D"," Taiji Jian"
"1007","RSA","Rutendo NGARA",8.54,"","W","Group D"," Taiji Jian"
"1008","HKG","CHAN Sau Lan Cecilia",8.52,"","W","Group D"," Taiji Jian"
"1009","HKG","CHIH Ellen",8.5,"","W","Group D"," Taiji Jian"
"1010","IRI","soad kaheni",8.5,"","W","Group D"," Taiji Jian"
"1011","HKG","CHOW Chi Lan",8.46,"","W","Group D"," Taiji Jian"
"1012","HKG","LO Kam Fung",8.45,"","W","Group D"," Taiji Jian"
"1013","HKG","WONG Chor Ying Christina",8.35,"","W","Group D"," Taiji Jian"
"1014","CHN","ZHU XIANGHUA",9.2,"1st Category Prize","M","Group D"," Taiji Jian"
"1015","JPN","KOURIN JO",9.14,"1st Category Prize","M","Group D"," Taiji Jian"
"1016","CHN","HUI HETONG",9.13,"1st Category Prize","M","Group D"," Taiji Jian"
"1017","NZL","David John Thew",9.06,"2nd Category Prize","M","Group D"," Taiji Jian"
"1018","RUS","Sergey SUKHOVEY",9.04,"2nd Category Prize","M","Group D"," Taiji Jian"
"1019","AUS","Sherman Shu Hang Mak",8.91,"2nd Category Prize","M","Group D"," Taiji Jian"
"1020","RUS","Natig VELIEV",8.88,"2nd Category Prize","M","Group D"," Taiji Jian"
"1021","EGY","Hassan khalifa Zayed Mahmoud",8.88,"2nd Category Prize","M","Group D"," Taiji Jian"
"1022","JPN","KATSUTO TAKANO",8.86,"2nd Category Prize","M","Group D"," Taiji Jian"
"1023","GER","Christian Ameis",8.84,"2nd Category Prize","M","Group D"," Taiji Jian"
"1024","GER","Eric Jonischkeit",8.84,"2nd Category Prize","M","Group D"," Taiji Jian"
"1025","IRI","mahdi ramezanzadeh",8.84,"2nd Category Prize","M","Group D"," Taiji Jian"
"1026","EGY","Mohamed Kamel Abdelhady Saad",8.84,"2nd Category Prize","M","Group D"," Taiji Jian"
"1027","IRI","saeed atazadeh",8.83,"3rd Category Prize","M","Group D"," Taiji Jian"
"1028","HKG","TIK Hoffman Ho Kit",8.83,"3rd Category Prize","M","Group D"," Taiji Jian"
"1029","RUS","Edgar TOBUKOV",8.82,"3rd Category Prize","M","Group D"," Taiji Jian"
"1030","ESP","JUAN JOSE ESTRELLA SANCHEZ",8.8,"3rd Category Prize","M","Group D"," Taiji Jian"
"1031","RUS","Vasily SAMSONOV",8.8,"3rd Category Prize","M","Group D"," Taiji Jian"
"1032","SVK","Marek SKOLUDA",8.78,"3rd Category Prize","M","Group D"," Taiji Jian"
"1033","BRA","Krishna Ramos RAZA",8.77,"3rd Category Prize","M","Group D"," Taiji Jian"
"1034","BRA","Marcio Luiz ZAQUEU",8.77,"3rd Category Prize","M","Group D"," Taiji Jian"
"1035","USA","Qiyue ZHANG",8.77,"3rd Category Prize","M","Group D"," Taiji Jian"
"1036","AUS","Desmond Chung",8.76,"","M","Group D"," Taiji Jian"
"1037","USA","Wen-lin FAN",8.75,"","M","Group D"," Taiji Jian"
"1038","HKG","MOK Kim Tong",8.73,"","M","Group D"," Taiji Jian"
"1039","COL","JOSE MIGUEL GOMEZ RANGES",8.69,"","M","Group D"," Taiji Jian"
"1040","FRA","KLINGER Michael",8.68,"","M","Group D"," Taiji Jian"
"1041","JPN","KIICHI KOBAYASHI",8.66,"","M","Group D"," Taiji Jian"
"1042","COL","EDGAR FERNANDEZ OBREGON",8.65,"","M","Group D"," Taiji Jian"
"1043","BRA","Hemerson Carvalho de OLIVEIRA",8.65,"","M","Group D"," Taiji Jian"
"1044","HKG","LAU King Yuen",8.64,"","M","Group D"," Taiji Jian"
"1045","USA","Quang UONG",8.59,"","M","Group D"," Taiji Jian"
"1046","JPN","MITSUAKI HIGO",8.52,"","M","Group D"," Taiji Jian"
"1047","CAN","Ng Pang Yee Allen",8.9,"1st Category Prize","M","Group E"," Taiji Jian"
"1048","USA","Wesley BISHOP",8.88,"1st Category Prize","M","Group E"," Taiji Jian"
"1049","USA","Eric SNYDER",8.88,"1st Category Prize","M","Group E"," Taiji Jian"
"1050","HKG","HO Wing Keung",8.85,"1st Category Prize","M","Group E"," Taiji Jian"
"1051","CAN","Zhu Ming",8.85,"1st Category Prize","M","Group E"," Taiji Jian"
"1052","JPN","ANRI TAKEDA",8.8,"2nd Category Prize","M","Group E"," Taiji Jian"
"1053","MAC","LEI IAM CHEONG",8.78,"2nd Category Prize","M","Group E"," Taiji Jian"
"1054","MAC","KOU KAM HONG",8.77,"2nd Category Prize","M","Group E"," Taiji Jian"
"1055","CAN","Wu Lawrence Man Wai",8.77,"2nd Category Prize","M","Group E"," Taiji Jian"
"1056","AUS","Edward Nugent",8.75,"3rd Category Prize","M","Group E"," Taiji Jian"
"1057","NZL","David Wong",8.73,"3rd Category Prize","M","Group E"," Taiji Jian"
"1058","AUS","Choo Beng Chew",8.72,"3rd Category Prize","M","Group E"," Taiji Jian"
"1059","MAS","SAY PENG YEO",8.72,"3rd Category Prize","M","Group E"," Taiji Jian"
"1060","HKG","CHEUNG Chun Wah",8.71,"3rd Category Prize","M","Group E"," Taiji Jian"
"1061","JPN","MASAHARU ISHIKAWA",8.69,"","M","Group E"," Taiji Jian"
"1062","USA","Hoa NGUYEN",8.68,"","M","Group E"," Taiji Jian"
"1063","USA","Francis ROSICA",8.67,"","M","Group E"," Taiji Jian"
"1064","JPN","MASAKI KAWASAKI",8.66,"","M","Group E"," Taiji Jian"
"1065","JPN","KENZO OKAMOTO",8.65,"","M","Group E"," Taiji Jian"
"1066","HKG","TANG Chi Man",8.61,"","M","Group E"," Taiji Jian"
"1067","ROU","Grindeanu Sonia",8.87,"1st Category Prize","W","Group C"," Other Taiji Weapon"
"1068","FRA","NGUYEN Diana",8.84,"2nd Category Prize","W","Group C"," Other Taiji Weapon"
"1069","BRA","Lenise Varanda CEZARETTO",8.79,"3rd Category Prize","W","Group C"," Other Taiji Weapon"
"1070","BOL","Maya Huanacuni Baldivieso",8.71,"3rd Category Prize","W","Group C"," Other Taiji Weapon"
"1071","ESP","ALBA NINO GONZALEZ",8.69,"","W","Group C"," Other Taiji Weapon"
"1072","USA","Winny WEN",8.45,"","W","Group C"," Other Taiji Weapon"
"1073","RSA","Daniela CHRYSOSTOMOU",8.93,"1st Category Prize","W","Group D"," Other Taiji Weapon"
"1074","JPN","JUNKO HIROSE",8.87,"2nd Category Prize","W","Group D"," Other Taiji Weapon"
"1075","FRA","ROMERO Sabine",8.83,"2nd Category Prize","W","Group D"," Other Taiji Weapon"
"1076","RSA","Catharina Louisa Riana VAN COLLER",8.8,"3rd Category Prize","W","Group D"," Other Taiji Weapon"
"1077","FRA","CIABURRI-VICENTE Consiglia",8.69,"3rd Category Prize","W","Group D"," Other Taiji Weapon"
"1078","POL","Ewa Mechelewska",8.66,"3rd Category Prize","W","Group D"," Other Taiji Weapon"
"1079","USA","Sinyi JONES",8.63,"","W","Group D"," Other Taiji Weapon"
"1080","JPN","ITSUKO MURAI",8.6,"","W","Group D"," Other Taiji Weapon"
"1081","BOL","Cecilia Pinedo Soruco",8.59,"","W","Group D"," Other Taiji Weapon"
"1082","HKG","FU Mi Wah",8.51,"","W","Group D"," Other Taiji Weapon"
"1083","AUS","May Gao",8.39,"","W","Group D"," Other Taiji Weapon"
"1084","HKG","LEE Chun Chun",8.79,"1st Category Prize","W","Group E"," Other Traditional Taiji Weapon"
"1085","MAC","WONG WA MUI",8.75,"2nd Category Prize","W","Group E"," Other Traditional Taiji Weapon"
"1086","HKG","WONG Lai Fong",8.62,"3rd Category Prize","W","Group E"," Other Traditional Taiji Weapon"
"1087","RSA","Anneke LUYT",8.6,"3rd Category Prize","W","Group E"," Other Traditional Taiji Weapon"
"1088","HKG","HO Kin Ping",8.56,"","W","Group E"," Other Traditional Taiji Weapon"
"1089","ESP","ELOY ALBERTO NINO ORTEGA",8.8,"1st Category Prize","M","Group D"," Other Taiji Weapon"
"1090","HKG","NG Ho On",8.79,"2nd Category Prize","M","Group D"," Other Taiji Weapon"
"1091","RUS","Sergey POPOV",8.77,"2nd Category Prize","M","Group D"," Other Taiji Weapon"
"1092","GER","Ruediger Gruetz",8.77,"2nd Category Prize","M","Group D"," Other Taiji Weapon"
"1093","POL","Piotr Miaskiewicz",8.74,"3rd Category Prize","M","Group D"," Other Taiji Weapon"
"1094","HKG","LAW Wah Tak",8.74,"3rd Category Prize","M","Group D"," Other Taiji Weapon"
"1095","BRA","Sergio TANOSHI",8.73,"","M","Group D"," Other Taiji Weapon"
"1096","USA","Bo LI",8.72,"","M","Group D"," Other Taiji Weapon"
"1097","AUS","Pablo Barreto",8.69,"","M","Group D"," Other Taiji Weapon"
"1098","AUS","Yunkuo Wang",8.6,"","M","Group D"," Other Taiji Weapon"
"1099","RUS","Denis KAZANTSEV",9.11,"1st Category Prize","M","Group C"," Dao (Broadsword)"
"1100","RUS","Radik ZARIPOV",9.08,"1st Category Prize","M","Group C"," Dao (Broadsword)"
"1101","ITA","Alessandro PIRAS",9.05,"2nd Category Prize","M","Group C"," Dao (Broadsword)"
"1102","RUS","Ivan MOLCHANOV",9.03,"2nd Category Prize","M","Group C"," Dao (Broadsword)"
"1103","NZL","Jun Nakanishi Selwyn",8.97,"2nd Category Prize","M","Group C"," Dao (Broadsword)"
"1104","RUS","Iliyas KHUSNUTDINOV",8.96,"2nd Category Prize","M","Group C"," Dao (Broadsword)"
"1105","USA","Max WOOD-LEE",8.94,"3rd Category Prize","M","Group C"," Dao (Broadsword)"
"1106","TJK","KHURSHDZODA MIRZODALERKHON",8.91,"3rd Category Prize","M","Group C"," Dao (Broadsword)"
"1107","KAZ","Babenko Alexey",8.91,"3rd Category Prize","M","Group C"," Dao (Broadsword)"
"1108","TPE","KUO yi peng",8.9,"3rd Category Prize","M","Group C"," Dao (Broadsword)"
"1109","MAC","CHEONG KA CHON",8.83,"3rd Category Prize","M","Group C"," Dao (Broadsword)"
"1110","TUN","mohamed dadda",8.77,"3rd Category Prize","M","Group C"," Dao (Broadsword)"
"1111","ROU","Zamolo Giuliano Isa",8.77,"3rd Category Prize","M","Group C"," Dao (Broadsword)"
"1112","COL","URIEL DARIO VARELA MEJIA",8.76,"","M","Group C"," Dao (Broadsword)"
"1113","ROU","Iana Mihail Alexandru",8.74,"","M","Group C"," Dao (Broadsword)"
"1114","BRA","Giovani Ricardo CINTRA",8.7,"","M","Group C"," Dao (Broadsword)"
"1115","USA","Alvin TONG",8.63,"","M","Group C"," Dao (Broadsword)"
"1116","SRI","N.K.C.S. RATHNASIRI",8.62,"","M","Group C"," Dao (Broadsword)"
"1117","JPN","TSUTOMU KOBUKI",8.6,"","M","Group C"," Dao (Broadsword)"
"1118","USA","Benny CHANTHAVONG",8.54,"","M","Group C"," Dao (Broadsword)"
"1119","ARG","Lucas Alvarez",8.5,"","M","Group C"," Dao (Broadsword)"
"1120","BRU","Koh Yun C",8.79,"1st Category Prize","W","Group B"," Nan Dao (Southern Broadsword)"
"1121","RUS","Idalia GAFAROVA",8.78,"2nd Category Prize","W","Group B"," Nan Dao (Southern Broadsword)"
"1122","POL","Emilia Marta Rychlewska",8.58,"3rd Category Prize","W","Group B"," Nan Dao (Southern Broadsword)"
"1123","IND","TRUPTI DEEPAK CHANDWADKAR",8.58,"3rd Category Prize","W","Group B"," Nan Dao (Southern Broadsword)"
"1124","CAN","Melody Weng",8.56,"","W","Group B"," Nan Dao (Southern Broadsword)"
"1125","RUS","Aleksander EMELIANINKO",8.89,"1st Category Prize","M","Group B"," Nan Dao (Southern Broadsword)"
"1126","GBR","Ping Hao Ng",8.8,"2nd Category Prize","M","Group B"," Nan Dao (Southern Broadsword)"
"1127","USA","Cheng-en YEW",8.7,"3rd Category Prize","M","Group B"," Nan Dao (Southern Broadsword)"
"1128","USA","Caleb YEUNG",8.69,"3rd Category Prize","M","Group B"," Nan Dao (Southern Broadsword)"
"1129","USA","Aspen SHEN",8.66,"","M","Group B"," Nan Dao (Southern Broadsword)"
"1130","GEO","RAULI MAMEDOVI",8.58,"","M","Group B"," Nan Dao (Southern Broadsword)"
"1131","RUS","Artem ZAGIBALOV",9.17,"1st Category Prize","M","Group C"," Nan Dao (Southern Broadsword)"
"1132","USA","Alex TRAN",9.05,"2nd Category Prize","M","Group C"," Nan Dao (Southern Broadsword)"
"1133","RUS","Artem ALTYSHEV",9.04,"2nd Category Prize","M","Group C"," Nan Dao (Southern Broadsword)"
"1134","YEM","HAMDI MANSOOR AL-YARESI",8.85,"3rd Category Prize","M","Group C"," Nan Dao (Southern Broadsword)"
"1135","KAZ","Dauletzhan Gali",8.79,"3rd Category Prize","M","Group C"," Nan Dao (Southern Broadsword)"
"1136","USA","Faris MAALIKI",8.74,"3rd Category Prize","M","Group C"," Nan Dao (Southern Broadsword)"
"1137","COL","WILLIAM ANDRES MOLANO ANDRADE",8.67,"","M","Group C"," Nan Dao (Southern Broadsword)"
"1138","USA","Anthony DIAZ",8.66,"","M","Group C"," Nan Dao (Southern Broadsword)"
"1139","AUS","Mitchell Chiew",8.55,"","M","Group C"," Nan Dao (Southern Broadsword)"
"1140","FRA","SAATENANG Dominique",8.76,"1st Category Prize","M","Group B"," Jian (Straight Sword)"
"1141","ITA","Lorenzo MURRU",8.74,"2nd Category Prize","M","Group B"," Jian (Straight Sword)"
"1142","USA","Alan TONG",8.67,"3rd Category Prize","M","Group B"," Jian (Straight Sword)"
"1143","USA","Matthew CHAN",8.65,"3rd Category Prize","M","Group B"," Jian (Straight Sword)"
"1144","KAZ","Orailo Danil",8.63,"","M","Group B"," Jian (Straight Sword)"
"1145","BOL","Cristina Felipes Arcani",8.4,"","M","Group B"," Jian (Straight Sword)"
"1146","BOL","Leonardo Calamani",8.3,"","M","Group B"," Jian (Straight Sword)"
"1147","RUS","Anna SHATAEVA",9.05,"1st Category Prize","W","Group C"," Jian (Straight Sword)"
"1148","RUS","Alina PODOLSKAYA",8.96,"2nd Category Prize","W","Group C"," Jian (Straight Sword)"
"1149","RUS","Nina SAFAROVA",8.9,"2nd Category Prize","W","Group C"," Jian (Straight Sword)"
"1150","ITA","Sonia ABIS",8.85,"3rd Category Prize","W","Group C"," Jian (Straight Sword)"
"1151","ITA","Sonia PUDDU",8.78,"3rd Category Prize","W","Group C"," Jian (Straight Sword)"
